Country,Continent,Year,CO2_Emissions,Methane_Emissions,Nitrous_Emissions,GDP,Population
Canada,North America,2000,7750.862683131835,1053.0305918821666,371.2254069764535,734.4721701924536,35108975.3431159
Canada,North America,2001,7955.423607309764,1023.1186334718709,199.87640085840525,17204.3410863963,73969898.74314143
Canada,North America,2002,8690.632911695897,994.0911859114002,459.8254244247774,37012.64013378068,12964623.144161912
Canada,North America,2003,,489.3612136868571,460.9232474677947,29251.111335206206,20756881.82273697
Canada,North America,2004,7324.463431884297,1077.2073899024947,408.1545883724034,23575.08266755339,12393322.47558852
Canada,North America,2005,9733.875100952719,529.331793560063,254.7508878260522,36462.315045118245,137082380.04352307
Canada,North America,2006,7735.958065943254,638.8550340349314,269.3535913591615,39239.69133863243,86448614.63604458
Canada,North America,2007,8560.968424449567,835.2979065000113,248.92191938647233,39758.89181737052,67162708.56017213
Canada,North America,2008,11205.901784430293,1492.917248577923,584.8424496773782,31750.287137110925,40934429.836450644
Canada,North America,2009,13497.397542451756,863.4993600045705,377.8775700811741,31013.68604233337,44455969.93449921
Canada,North America,2010,12814.711664890301,1544.3846835604834,656.4869301360345,22944.410185608067,1943892.412167095
Canada,North America,2011,8300.057528156583,510.06349631308757,387.91247195717807,44524.175318872214,54143488.58079024
Canada,North America,2012,8059.162729820237,914.4879593392993,339.63871354757043,40668.39869689282,69667361.75999625
Canada,North America,2013,8013.200175855739,750.6103948123895,229.04440103605066,27130.435126775777,33784316.16689609
Canada,North America,2014,4594.48491089168,256.5113522399869,143.60226006035504,32136.38604105848,64524267.7033884
Canada,North America,2015,7593.9412693411505,974.9847595766386,353.669145773794,25359.801904196425,52838761.877870575
Canada,North America,2016,6276.918627976635,328.10211489222144,148.1472963480156,12062.405316164404,54348624.03927909
Canada,North America,2017,7306.099666346033,731.3732897380124,190.63428943944635,36697.96764044916,63269255.44863931
Canada,North America,2018,10146.63421495383,813.2649987446969,458.74256127627405,4689.983490629551,42355623.62115437
Canada,North America,2019,3159.377847633991,461.8687096885604,178.009545233064,16417.81416959909,11091872.298030516
Canada,North America,2020,39594.595514658926,5063.16248065301,1927.2909930202884,15995.734799851845,19728122.1066185
Canada,North America,2021,4315.404510484577,605.2796708461772,164.9824524864872,4090.193652114769,51721182.17729287
Canada,North America,2022,15461.624138170766,1046.4006396750228,839.018406444397,31081.94261570804,3525364.5468098787
Canada,North America,2023,15864.927363611761,1788.4672874101643,687.9654212735836,26409.665587904638,21174874.631093245
Canada,North America,2024,15379.852291939154,832.9945993216559,611.4972791809716,,47843552.95747547
United States,North America,2000,1078.8595288393888,72.3475614078712,61.50017677806101,24152.85295266348,38834307.37781543
United States,North America,2001,1134.6986519772804,59.32248477059018,66.20100692376442,14766.313781886876,45675692.37250976
United States,North America,2002,1216.5706076482772,120.03395250890156,48.210600404931114,36216.14149913994,19476906.001593206
United States,North America,2003,822.1378118743256,63.05596934152294,27.34657263590931,23769.64109730472,604839.9529904032
United States,North America,2004,1135.8863167631455,150.6516848725834,63.43519666937051,27620.477444419674,21782687.64129058
United States,North America,2005,776.1770953789775,90.98659105024232,24.255030766083575,34210.30150427138,118396495.67899415
